"Fieldwork","Polling Company","Sample size","Yes","No","Undecided","Lead","Notes"
"5–11 Nov 2020","Panelbase/Scot Goes Pop",1020,"51%","40%","8%","11%",
"6–10 Nov 2020","YouGov",1089,"43%","42%","10%","1%",
"28 Oct–3 Nov 2020","Survation",1071,"47%","40%","13%","7%",
"11 Oct 2020","Survation/Progress Scotland",2093,"49%","43%","7%","6%","Non-standard question[notes 1]"
"2–9 Oct 2020","Ipsos MORI/STV",1045,"55%","39%","6%","16%",
"9 Oct 2020","Savanta ComRes",1003,"47%","42%","11%","5%",
"17–21 Sep 2020","JL Partners",1016,"51%","40%","7%","11%","JL Partners is not a member of the British Polling Council"
"2–7 Sep 2020","Survation",1018,"46%","40%","13%","6%",
"12–18 Aug 2020","Panelbase/Business for Scotland",1011,"51%","42%","7%","9%",
"6–13 Aug 2020","Savanta ComRes",1008,"49%","42%","9%","7%",
"6–10 Aug 2020","YouGov/The Times",1142,"45%","40%","9%","5%",
"30 Jun–3 Jul 2020","Panelbase/Sunday Times",1026,"50%","43%","7%","7%",
"15–19 Jun 2020","Panelbase/Business for Scotland",1070,"50%","43%","7%","7%",
"1–5 Jun 2020","Panelbase/Scot Goes Pop",1022,"48%","45%","8%","3%",
"1–5 May 2020","Panelbase/Wings Over Scotland",1086,"46%","46%","7%","Tied",
"24–26 Mar 2020","Panelbase/Sunday Times",1023,"46%","47%","7%","1%",
"7–14 Feb 2020","YouGov/Hanbury",2587,"45%","46%","8%","1%","Excludes 16 and 17 year olds. Non-standard question[notes 2]"
"28–31 Jan 2020","Panelbase/Scot Goes Pop",1016,"49%","46%","6%","3%",
"22–27 Jan 2020","YouGov",1039,"43%","42%","10%","1%",
"20–22 Jan 2020","Survation/Progress Scotland",1019,"45%","45%","10%","Tied",
"10–11 Dec 2019","Survation/The Courier",1012,"46%","47%","7%","1%",
"3–6 Dec 2019","Panelbase/Sunday Times",1020,"44%","50%","6%","6%",
"3–6 Dec 2019","YouGov/The Times",1008,"38%","48%","12%","10%",
"19–25 Nov 2019","Ipsos MORI/STV",1046,"48%","48%","4%","Tied",
"20–22 Nov 2019","Panelbase/Sunday Times",1009,"45%","47%","7%","2%",
"9–11 Oct 2019","Panelbase/Sunday Times",1003,"46%","47%","7%","1%",
"30 Sep–9 Oct 2019","Survation/Progress Scotland",2032,"40%","51%","8%","11%","Non-standard question[notes 3]"
"30 Aug–3 Sep 2019","YouGov/The Times",1059,"43%","44%","13%","1%",
"30 Jul–2 Aug 2019","Lord Ashcroft",1019,"46%","43%","12%","3%","Lord Ashcroft is not a member of the British Polling Council
Excludes 16 and 17 year-olds"
"18–20 Jun 2019","Panelbase/Sunday Times",1024,"46%","48%","6%","2%",
"14–17 May 2019","Panelbase/Sunday Times",1021,"45%","49%","6%","4%",
"24–26 Apr 2019","YouGov/The Times",1029,"44%","45%","11%","1%",
"18–24 Apr 2019","Panelbase/Sunday Times",1018,"44%","49%","7%","5%",
"15–21 Mar 2019","Survation/Progress Scotland",2041,"35%","58%","8%","23%","Non-standard question[notes 4]"
"30 Nov–5 Dec 2018","Panelbase/Sunday Times",1028,"45%","51%","4%","6%",
"2–7 Nov 2018","Panelbase/Constitutional Commission",1050,"43%","52%","5%","9%",
"18–21 Oct 2018","Survation/Daily Record",1017,"41%","51%","7%","10%",
"3–5 Oct 2018","Survation/Scottish National Party",1013,"41%","49%","8%","8%",
"28 Sep–4 Oct 2018","Panelbase/Sunday Times",1024,"41%","52%","7%","11%",
"28 Sep–2 Oct 2018","Survation/Sunday Post",1036,"43%","49%","8%","6%",
"24–29 Aug 2018","Deltapoll/OFOC & Best for Britain",1022,"45%","47%","8%","2%","Non-standard question[notes 5]"
"5–10 Jul 2018","Survation/Daily Record",1002,"41%","47%","12%","6%","Excludes 16 and 17 year-olds"
"8–13 Jun 2018","Panelbase/Sunday Times",1021,"41%","53%","6%","12%",
"1–5 Jun 2018","YouGov/The Times",1075,"41%","50%","6%","9%",
"30 May–5 Jun 2018","YouGov/Future of England",1052,"41%","47%","12%","6%","Non-standard question[notes 6]
Excludes 16 and 17 year-olds"
